la_code,est_no,urn,name,source_est_type,gias_establishment_type,s41_granted,s41_revoked
878,7900,150315,Breakthrough College,Special post-16 institution,Special post 16 institution,01/08/2023,
392,6001,145239,Brenkley School,Independent Special School,Other independent special school,01/08/2024,
886,6070,119021,Brewood Secondary School,Independent special school,Other independent special school,01/08/2015,
211,6011,149018,Brick Lane School,Independent special school,Other independent special school,01/08/2025,
845,6073,150476,Bricklehurst Manor School,Independent Special School,Other independent special school,01/08/2024,
352,8605,134143,Bridge College,Special post-16 institution,Special post 16 institution,01/09/2014,
886,7917,148656,Craftworks,Special post-16 institution,Special post 16 institution,01/08/2017,
353,6019,131751,Brookland School,Independent special school,Other independent special school,01/04/2015,
319,6000,144774,Brookways School,Independent Special School,Other independent special school,01/08/2019,
213,6015,150305,Caelum House School,Independent Special School,Other independent special school,01/08/2025,
874,7905,144791,Calman Colaiste (Kisimul Group),Special post-16 institution,Special post 16 institution,01/08/2018,
351,6002,140205,Cambian Chesham House School,Independent special school,Other independent special school,01/04/2015,
929,7904,131868,Cambian Dilston College,Special post-16 institution,Special post 16 institution,01/08/2023,
805,6002,135424,Cambian Hartlepool School,Independent special school,Other independent special school,01/12/2014,
884,6010,117048,Cambian Hereford School,Independent special school,Other independent special school,01/04/2015,
933,7907,131921,Cambian Lufton College,Special post-16 institution,Special post 16 institution,01/08/2023,
885,6021,117030,Cambian New Elizabethan School,Independent special school,Other independent special school,01/04/2015,
815,6036,134660,Cambian Scarborough School,Independent special school,Other independent special school,01/12/2014,
933,6211,131455,Cambian Somerset School,Independent special school,Other independent special school,01/12/2014,
943,6054,134781,Cambian Whinfell School,Independent special school,Other independent special school,01/09/2014,
839,7906,132082,Cambian Wing College,Special post-16 institution,Special post 16 institution,01/04/2015,
384,7904,131958,Camphill Wakefield (Pennine Camphill Community Ltd),Special post-16 institution,Special post 16 institution,01/08/2024,
805,7900,145163,Catcote Futures,Special post-16 institution,Special post 16 institution,01/08/2017,
850,6090,140046,Clay Hill School,Independent special school,Other independent special school,01/09/2014,
940,7900,149250,Creating Tomorrow College,Special post-16 institution,Special post 16 institution,01/08/2022,
669,7904,402189,Coleg Elidyr,Special post-16 institution,Welsh establishment,01/09/2014,
371,7904,131869,Communication Specialist College - Doncaster,Special post-16 institution,Special post 16 institution,01/09/2014,
886,6126,135510,Compass Community School Coastal Park,Independent special school,Other independent special school,01/04/2015,
933,6010,146335,Compton Dundon School,Independent special school,Other independent special school,28/08/2020,
893,7904,131857,Condover College Limited,Special post-16 institution,Special post 16 institution,01/09/2014,
681,6087,402022,Craig Y Parc School,Independent special school,Welsh establishment,01/09/2014,
893,7906,133173,Derwen College,Special post-16 institution,Special post 16 institution,01/09/2014,
886,7905,133001,Dorton College of Further Education,Special post-16 institution,Special post 16 institution,01/09/2014,
830,6013,113026,Eastwood Grange School,Independent special school,Other independent special school,01/08/2018,
394,7904,131872,Education and Services for People with Autism,Special post-16 institution,Special post 16 institution,01/09/2014,
838,7901,145149,Employ My Ability (EMA) Ltd,Special post-16 institution,Special post 16 institution,01/08/2017,
878,7906,132001,Exeter Royal Academy for Deaf Education,Special post-16 institution,Special post 16 institution,01/08/2019,
359,7901,141738,Expanse Learning (Expanse Group Ltd),Special post-16 institution,Special post 16 institution,01/08/2016,
359,6003,145289,Expanse Learning Wigan School,Independent special school,Other independent special school,01/08/2021,
865,7904,131875,Fairfield Farm College (Fairfield Farm Trust),Special post-16 institution,Special post 16 institution,01/09/2014,
358,6019,136239,Fairfield House School,Independent Special School,Other independent special school,01/08/2019,
938,6217,126139,Farney Close School,Independent special school,Other independent special school,01/09/2014,
943,6051,133346,Fell House School,Independent special school,Other independent special school,01/09/2014,
359,7900,146039,Fir Tree College,Special post-16 institution,Special post 16 institution,01/08/2023,
887,7903,147315,FORWARD2 EMPLOYMENT LIMITED,Special post-16 institution,Special post 16 institution,28/08/2020,
373,7904,132002,Freeman College,Special post-16 institution,Special post 16 institution,01/09/2014,
839,7901,150013,Futures Autism Unlimited,Special post-16 institution,Special post 16 institution,01/08/2022,
332,7904,132004,Glasshouse College,Special post-16 institution,Special post 16 institution,01/09/2014,
861,6004,136220,Glebedale School,Independent special school,Other independent special school,01/12/2014,
202,6401,135167,"Gloucester House, The Tavistock Children's Day Unit",Independent special school,Other independent special school,01/04/2015,
801,6040,148394,Grace Garden School,Independent special school,Other independent special school,01/08/2021,
354,6035,135753,Great Howarth School,Independent special school,Other independent special school,01/08/2015,
313,7900,147303,Great Oaks Charitable Trust T/A Great Oaks College,Special post-16 institution,Special post 16 institution,01/08/2024,
312,7900,146362,Green Corridor,Special post-16 institution,Special post 16 institution,01/08/2018,
393,7008,141503,Groundwork South and North Tyneside,Special post-16 institution,Special post 16 institution,01/12/2014,
929,6002,137385,Gust Independent School,Independent special school,Other independent special school,01/08/2016,
938,6020,149912,Hambrook School,Independent Special School,Other independent special school,01/08/2024,
371,7900,148195,Harrison College,Special post-16 institution,Special post 16 institution,28/08/2020,
330,7905,141435,Heart of Birmingham Vocational College,Special post-16 institution,Special post 16 institution,01/12/2014,
886,6060,119009,Heath Farm School,Independent special school,Other independent special school,01/08/2015,
886,6182,150378,Hilden Park,Independent Special School,Other independent special school,01/09/2024,
392,7905,141240,Percy Hedley Hedleys College,Special post-16 institution,Special post 16 institution,01/09/2014,
815,8223,121777,Henshaws College,Special post-16 institution,Special post 16 institution,01/09/2014,
850,6031,116565,Hill House School,Independent special school,Other independent special school,01/09/2014,
855,7904,131893,Homefield College,Special post-16 institution,Special post 16 institution,01/09/2014,
866,7900,147610,Horizons College,Special post-16 institution,Special post 16 institution,01/08/2021,
841,6006,137511,Hurworth House School Aspris Children's services,Independent special school,Other independent special school,01/09/2014,
933,6000,135735,Inaura School,Independent special school,Other independent special school,01/08/2022,
352,6009,141207,IncludEd Learning,Independent Special School,Other independent special school,01/08/2024,
850,7900,147588,Inclusion Hampshire,Special post-16 institution,Special post 16 institution,01/08/2019,
878,7907,132042,Infocus College,Special post-16 institution,Special post 16 institution,01/09/2014,
307,6339,135493,Insights Independent School,Independent special school,Other independent special school,01/12/2014,
886,6170,149070,King's Reach Education,Independent Special School,Other independent special school,01/08/2024,
893,6025,133478,Lamledge School,Independent special school,Other independent special school,01/12/2014,
830,7904,131900,Landmarks,Special post-16 institution,Special post 16 institution,01/09/2014,
840,7900,149249,Learning for Life,Special post-16 institution,Special post 16 institution,01/08/2023,
204,6003,137808,Leaways School,Independent special school,Other independent special school,01/08/2017,
886,7907,144785,Liberty College,Special post-16 institution,Special post 16 institution,01/08/2017,
350,7902,142922,LifeBridge ASEND,Special post-16 institution,Special post 16 institution,01/08/2016,
878,7909,142065,Lifeworks College,Special post-16 institution,Special post 16 institution,01/04/2015,
812,7904,131913,Linkage College,Special post-16 institution,Special post 16 institution,01/09/2014,
305,7904,131924,Shaftesbury Nash College,Special post-16 institution,Special post 16 institution,01/08/2023,
860,6037,137098,Longdon Hall School,Independent special school,Other independent special school,01/08/2022,
830,6043,141994,Longdon Park School,Independent special school,Other independent special school,01/08/2023,
825,6011,110564,Macintyre School,Independent special school,Other independent special school,01/09/2014,
938,6255,131139,Manor House School,Independent special school,Other independent special school,01/08/2018,
860,6022,124488,Maple Hayes Hall School,Independent special school,Other independent special school,01/04/2015,
933,6089,123920,Marchant Holliday School,Independent special school,Other independent special school,01/09/2014,
384,6348,135216,Meadowcroft School,Independent special school,Other independent special school,01/08/2016,
845,6065,145980,Mountfield Heath School,Independent special school,Other independent special school,28/08/2020,
916,7904,131944,National Star College,Special post-16 institution,Special post 16 institution,01/09/2014,
